Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Tes Suite Heroku App,Edge Chromium 115,,,2023-08-25 15:41:12,2023-08-25 15:45:07,3m - 54.754s,FAILED
,,,,,,,
Test Cases/Login/Test Case 1.1 (Cara Manual),Edge Chromium 115,Test Case ketika user  login dengan detail yang valid.,,2023-08-25 15:41:13,2023-08-25 15:41:27,14.725s,PASSED
openBrowser(web_url),Edge Chromium 115,,,2023-08-25 15:41:13,2023-08-25 15:41:22,8.512s,PASSED
maximizeWindow(),Edge Chromium 115,,,2023-08-25 15:41:22,2023-08-25 15:41:22,0.175s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/title_homepage""), 0)",Edge Chromium 115,,,2023-08-25 15:41:22,2023-08-25 15:41:22,0.460s,PASSED
"click(findTestObject(""Login Manual/burger_button""))",Edge Chromium 115,,,2023-08-25 15:41:22,2023-08-25 15:41:23,0.631s,PASSED
"click(findTestObject(""Login Manual/burger_button_login""))",Edge Chromium 115,,,2023-08-25 15:41:23,2023-08-25 15:41:24,1.030s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/Title_Login""), 0)",Edge Chromium 115,,,2023-08-25 15:41:24,2023-08-25 15:41:24,0.537s,PASSED
"setText(findTestObject(""Login Manual/input_Username""), Username)",Edge Chromium 115,,,2023-08-25 15:41:24,2023-08-25 15:41:25,0.824s,PASSED
"setEncryptedText(findTestObject(""Login Manual/input_Password""), password)",Edge Chromium 115,,,2023-08-25 15:41:25,2023-08-25 15:41:26,0.588s,PASSED
"click(findTestObject(""Login Manual/button_Login (1)""))",Edge Chromium 115,,,2023-08-25 15:41:26,2023-08-25 15:41:27,1.101s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/title_Make Appointment""), 5)",Edge Chromium 115,,,2023-08-25 15:41:27,2023-08-25 15:41:27,0.391s,PASSED
,,,,,,,
Test Cases/Login/Test Case 1.2,Edge Chromium 115,Negative test case,,2023-08-25 15:41:27,2023-08-25 15:41:45,17.510s,PASSED
openBrowser(web_url),Edge Chromium 115,,,2023-08-25 15:41:28,2023-08-25 15:41:35,7.956s,PASSED
maximizeWindow(),Edge Chromium 115,,,2023-08-25 15:41:35,2023-08-25 15:41:36,0.153s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/title_homepage""), 0)",Edge Chromium 115,,,2023-08-25 15:41:36,2023-08-25 15:41:36,0.448s,PASSED
"click(findTestObject(""Login Manual/burger_button""))",Edge Chromium 115,,,2023-08-25 15:41:36,2023-08-25 15:41:37,0.529s,PASSED
"click(findTestObject(""Login Manual/burger_button_login""))",Edge Chromium 115,,,2023-08-25 15:41:37,2023-08-25 15:41:38,1.037s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/Title_Login""), 0)",Edge Chromium 115,,,2023-08-25 15:41:38,2023-08-25 15:41:38,0.420s,PASSED
"setText(findTestObject(""Login Manual/input_Username""), username)",Edge Chromium 115,,,2023-08-25 15:41:38,2023-08-25 15:41:39,0.813s,PASSED
"setEncryptedText(findTestObject(""Login Manual/input_Password""), password)",Edge Chromium 115,,,2023-08-25 15:41:39,2023-08-25 15:41:39,0.473s,PASSED
"click(findTestObject(""Login Manual/button_Login (1)""))",Edge Chromium 115,,,2023-08-25 15:41:39,2023-08-25 15:41:40,1.113s,PASSED
"verifyElementText(findTestObject(""Login Negative/Error_Login failed Please ensure the username and password are valid""), ""Login failed! Please ensure the username and password are valid."")",Edge Chromium 115,,,2023-08-25 15:41:40,2023-08-25 15:41:41,0.469s,PASSED
delay(3),Edge Chromium 115,,,2023-08-25 15:41:41,2023-08-25 15:41:44,3.024s,PASSED
closeBrowser(),Edge Chromium 115,,,2023-08-25 15:41:44,2023-08-25 15:41:45,0.818s,PASSED
,,,,,,,
Test Cases/Login/Test Case 1.3,Edge Chromium 115,Test case when user input valid username and user didn't input password,,2023-08-25 15:41:45,2023-08-25 15:41:58,13.036s,FAILED
openBrowser(web_url),Edge Chromium 115,,,2023-08-25 15:41:45,2023-08-25 15:41:52,7.052s,PASSED
maximizeWindow(),Edge Chromium 115,,,2023-08-25 15:41:52,2023-08-25 15:41:52,0.155s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/title_homepage""), 0)",Edge Chromium 115,,,2023-08-25 15:41:52,2023-08-25 15:41:53,0.374s,PASSED
"click(findTestObject(""Login Manual/burger_button""))",Edge Chromium 115,,,2023-08-25 15:41:53,2023-08-25 15:41:53,0.383s,PASSED
"click(findTestObject(""Login Manual/burger_button_login""))",Edge Chromium 115,,,2023-08-25 15:41:53,2023-08-25 15:41:54,1.071s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/Title_Login""), 0)",Edge Chromium 115,,,2023-08-25 15:41:54,2023-08-25 15:41:55,0.524s,PASSED
"setText(findTestObject(""Login Manual/input_Username""), ""John Doe"")",Edge Chromium 115,,,2023-08-25 15:41:55,2023-08-25 15:41:55,0.801s,PASSED
"setEncryptedText(findTestObject(""Login Manual/input_Password""), """")",Edge Chromium 115,,,2023-08-25 15:41:55,2023-08-25 15:41:56,0.492s,PASSED
"click(findTestObject(""Login Manual/button_Login (1)""))",Edge Chromium 115,,,2023-08-25 15:41:56,2023-08-25 15:41:57,1.043s,PASSED
"verifyElementText(findTestObject(""Login Negative/Error_Login failed Please ensure the username and password are valid""), ""Please fills out this field."")",Edge Chromium 115,,,2023-08-25 15:41:57,2023-08-25 15:41:58,0.847s,FAILED
,,,,,,,
Test Cases/Login/Test Case 1.4,Edge Chromium 115,Test case when didn't input username and user input password,,2023-08-25 15:41:58,2023-08-25 15:42:12,14.339s,FAILED
openBrowser(web_url),Edge Chromium 115,,,2023-08-25 15:41:58,2023-08-25 15:42:07,8.492s,PASSED
maximizeWindow(),Edge Chromium 115,,,2023-08-25 15:42:07,2023-08-25 15:42:07,0.167s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/title_homepage""), 0)",Edge Chromium 115,,,2023-08-25 15:42:07,2023-08-25 15:42:07,0.405s,PASSED
"click(findTestObject(""Login Manual/burger_button""))",Edge Chromium 115,,,2023-08-25 15:42:07,2023-08-25 15:42:08,0.425s,PASSED
"click(findTestObject(""Login Manual/burger_button_login""))",Edge Chromium 115,,,2023-08-25 15:42:08,2023-08-25 15:42:09,1.053s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/Title_Login""), 0)",Edge Chromium 115,,,2023-08-25 15:42:09,2023-08-25 15:42:09,0.426s,PASSED
"setText(findTestObject(""Login Manual/input_Username""), """")",Edge Chromium 115,,,2023-08-25 15:42:09,2023-08-25 15:42:10,0.818s,PASSED
"setEncryptedText(findTestObject(""Login Manual/input_Password""), ""g3/DOGG74jC3Flrr3yH+3D/yKbOqqUNM"")",Edge Chromium 115,,,2023-08-25 15:42:10,2023-08-25 15:42:10,0.488s,PASSED
"click(findTestObject(""Login Manual/button_Login (1)""))",Edge Chromium 115,,,2023-08-25 15:42:10,2023-08-25 15:42:11,1.073s,PASSED
"verifyElementText(findTestObject(""Login Negative/Error_Login failed Please ensure the username and password are valid""), ""Please fills out this field."")",Edge Chromium 115,,,2023-08-25 15:42:11,2023-08-25 15:42:12,0.698s,FAILED
,,,,,,,
Test Cases/Login/Test Case 1.5,Edge Chromium 115,Test case when user input valid username and user input invalid password,,2023-08-25 15:42:12,2023-08-25 15:42:25,12.605s,FAILED
openBrowser(web_url),Edge Chromium 115,,,2023-08-25 15:42:12,2023-08-25 15:42:19,6.654s,PASSED
maximizeWindow(),Edge Chromium 115,,,2023-08-25 15:42:19,2023-08-25 15:42:19,0.150s,PASSED
"verifyElementPresent(findTestObject(""Login Manual/title_homepage""), 0)",Edge Chromium 115,,,2023-08-25 15:42:19,2023-08-25 15:42:20,0.410s,PASSED
